"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"AL671883.1"	0.72986753038332	8.26235615986076	78.2978085872354	8.86201148221021e-19	5.49039848428303e-17
"MMP26"	-1.15001548603428	3.07942521759482	78.2563292628045	9.05006562359459e-19	5.5785884311097e-17
"RP11-317N12.1"	-0.874989493353063	5.5227659790298	78.116273943252	9.71502591865128e-19	5.95838649935371e-17
"ADORA1"	-1.17549069884601	9.08924492001021	78.0449840781987	1.00720492819473e-18	6.14646807430832e-17
"MIR764"	-1.25232458100674	2.17807234508068	77.8827263503989	1.09343424783923e-18	6.63948507207849e-17
"STX5"	-0.823350119965426	5.67134370650499	77.8699218335853	1.10054543956317e-18	6.64958271775666e-17
"CTD-2005H7.2"	-0.68045232743195	8.06014126806779	77.476240951003	1.3432864207909e-18	8.07626146096202e-17
"RP11-469A15.2"	-0.802324434199609	6.61433716016787	77.173684643967	1.56565787882656e-18	9.36708549562655e-17
"ZMYM6"	0.939103929124372	5.47173530809746	77.074733442799	1.6460978739331e-18	9.8003046591968e-17
"OR2L3"	0.910732670878889	4.8373166809191	77.0637351510714	1.6552901646438e-18	9.80719245605709e-17
"RP11-90E9.1"	0.879389330055851	8.31486693498416	77.0090386377937	1.70177344626049e-18	1.00338864307291e-16
"C9orf84"	-1.13527172006524	5.33082469742076	76.8769141039004	1.81951644067913e-18	1.06765375761965e-16
"ARL4C"	0.894123832758531	6.52282227862625	76.8231943280343	1.86968808446716e-18	1.09184416607281e-16
"SPDYC"	0.93679278520335	6.01260915806005	76.6480689978943	2.04305739369637e-18	1.18740549952687e-16
"C21orf91"	-0.869458903845028	4.9357365365207	76.4620578199951	2.24484850567755e-18	1.29850123278647e-16
"AC104651.2"	-0.984647364625962	6.48358310043893	76.4057756264534	2.30974759528547e-18	1.32973912266317e-16
"MEI1"	0.769861258152355	6.04651071979622	76.3835795777043	2.33585495831342e-18	1.33845585756879e-16
"RP11-681N23.1"	0.936222228795828	8.64044108326154	76.1465432068285	2.63375840448741e-18	1.5021038003163e-16
"RP11-738E22.3"	-1.09941277124399	3.88614975225707	75.7511895350335	3.21757207618384e-18	1.82653335766622e-16
"MRPS15"	-0.884350610234993	5.53056721306053	75.6715881690792	3.34993313076743e-18	1.89286730838039e-16
"SLC19A2"	-0.866632301324207	8.81177969316449	75.5080554089069	3.63919165528251e-18	2.04683567524069e-16
"RAET1E-AS1"	0.797659531906048	6.75337116949735	75.4199709255725	3.80521659325123e-18	2.12610549808864e-16
"RP11-500B12.1"	-0.809501601908345	6.09429905896195	75.4110920445477	3.8223665758519e-18	2.12610549808864e-16
"RP11-188P20.3"	-1.16370493453333	3.21146448382853	75.4059211126961	3.83239008258502e-18	2.12610549808864e-16
"COPA"	0.89127494606363	4.67899761311339	75.2704591441743	4.10455051720505e-18	2.26658681691308e-16
"EXTL2P1"	-1.19550132054326	3.32989002807267	75.2617214577735	4.12275520978864e-18	2.26658681691308e-16
"CYP2A13"	0.829495564731921	6.76847749035799	75.1894347402419	4.2764939612542e-18	2.33880075677421e-16
"RP11-420A21.1"	1.14296610908269	5.46721737020839	75.1820898888043	4.2924323598314e-18	2.33880075677421e-16
"MIR4709"	0.781248106377329	6.41895455624385	75.0426709057248	4.60649795796189e-18	2.4987692256411e-16
"RP11-140L24.3"	-0.929325707949645	6.19701020265843	74.8969571038002	4.95933805773319e-18	2.67826199091299e-16
"RP11-280H21.1"	-0.879363510101663	5.69447406180392	74.7907404264995	5.23345879302765e-18	2.81384865942302e-16
"CCT4P2"	0.991788832271189	3.89001566070114	74.7329108659766	5.38902361019654e-18	2.88478215624776e-16
"RP11-1094M14.5"	-0.939058813111203	6.81815542749382	74.6132969030739	5.72562651022454e-18	3.05158391079871e-16
"VNN2"	0.882140053200973	7.5097884517765	74.5194326710897	6.00443068821437e-18	3.18626419781115e-16
"TMEM244"	0.758889889204384	5.81352897200458	74.2244816372346	6.97202736241542e-18	3.68370536615932e-16
"TMEM105"	-1.1799295031496	5.75495383498844	74.1069760213175	7.39963735638577e-18	3.89278335925381e-16
"AL109618.1"	0.933178739201887	5.81932912336347	73.9536613338221	7.99724869994741e-18	4.1891167546291e-16
"RNU7-129P"	0.831721677264221	6.50359768174769	73.8597226918135	8.38702840752457e-18	4.37451631255716e-16
"SKA2P1"	-1.14682760545489	3.31588803200715	73.8116152570982	8.59394156850551e-18	4.46336412100467e-16
"CTB-109A12.1"	-0.746299261743454	6.57545692370344	73.7440416101452	8.893232687932e-18	4.59923326085636e-16
"SERINC4"	1.85456966179153	3.25054089972146	73.6102510399699	9.51691487981282e-18	4.90101038430867e-16
"AC092832.1"	0.873248403227652	5.78519371906528	73.3664590398327	1.07680465623304e-17	5.52201715517827e-16
"C6orf165"	-0.945250428797007	6.14423872851229	73.3329129807226	1.09526227769123e-17	5.59316991599226e-16
"RPS15P5"	-0.723548215986027	8.9043036286683	73.2548831908817	1.1394292019238e-17	5.79447225395001e-16
"RP11-342I1.2"	0.980695855708036	3.99740821899854	73.1430834042545	1.20583398658451e-17	6.10672357106387e-16
"RP11-339B21.14"	0.896054206959807	5.56643240509377	73.1052213342874	1.22918914026289e-17	6.19927828797874e-16
"RP11-571M6.15"	0.825449209629686	8.20983999462556	73.0604672969288	1.25737984125645e-17	6.31535842079627e-16
"POLRMTP1"	-1.13510491023167	3.06231460616087	73.0472030382263	1.26585862600375e-17	6.331887102613e-16
"ATP1B3"	0.972314392643313	5.88858977176254	72.9384399207169	1.33757475739169e-17	6.66330608733289e-16
"KCNRG"	-1.13587672364865	3.77013244110361	72.6822439314731	1.52298179255364e-17	7.55609462525086e-16
"ARHGAP35"	0.75714119067989	5.87480613140798	72.6319511000646	1.56229157431816e-17	7.71974439860451e-16
"RP11-98D18.7"	-0.812984059766159	10.0408028061599	72.5762274165115	1.60703261895166e-17	7.90880367512298e-16
