"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"RP13-476E20.1"	1.09059636172462	5.69566086707577	116.71133237194	3.32043639810253e-27	5.06574077985517e-25
"PRIM2"	-1.08183874223548	8.39310197731626	116.574990267472	3.55673182375267e-27	5.35924838381498e-25
"AC012370.2"	1.58706898954034	3.36395956425277	116.13013533591	4.45109307657531e-27	6.62507207312216e-25
"RP11-349P19.1"	-1.35648810579161	6.09086111348219	115.468158174236	6.21489746896625e-27	9.13889441069073e-25
"RFC3"	-0.934966715634259	7.07951660867185	114.237982532632	1.15571360967972e-26	1.67922435787393e-24
"RP11-269G24.3"	1.30146664666802	3.89228465787591	114.208022983063	1.17330753683233e-26	1.68473158671043e-24
"RP11-454C18.1"	-1.14139776977124	4.6303251428411	113.46318051632	1.70824140723351e-26	2.42431236921918e-24
"LECT2"	-1.99747426281491	1.95177545134606	113.415694168077	1.74964579397023e-26	2.45453182935708e-24
"CTD-2005H7.2"	-0.811056020848277	8.06014126806779	112.363441478034	2.97463442381102e-26	4.12561512984244e-24
"XXbac-BPG254F23.6"	-1.43345829278062	4.07511544779911	109.426887832501	1.3084263475087e-25	1.79430826644311e-23
"RNU7-28P"	1.03877989050409	5.73616415709651	109.285656602052	1.40505325296233e-25	1.90540832804503e-23
"AC009133.14"	1.30974917514052	4.16868557152668	108.796770572646	1.7980821448219e-25	2.41160357995069e-23
"RP11-630H24.4"	1.17350449196991	6.73918874246425	108.555855247495	2.03046975731214e-25	2.69368297695594e-23
"MIR578"	1.46442845739929	2.77122143342499	108.496677924689	2.09200653149821e-25	2.74547738891782e-23
"RPL7P23p"	-0.927093050160899	5.58616717482979	108.445955082741	2.14623420147414e-25	2.78667962010552e-23
"AKR1B15"	-1.25310374291413	3.57011622584044	107.215870660539	3.99226848535998e-25	5.12901440671775e-23
"RP1-102K2.6"	-0.85361007789305	6.74422129349895	107.043802649851	4.35438055187375e-25	5.535959857877e-23
"RP1-203C2.4"	1.68007931388694	4.22477642656846	106.655244609219	5.29756398928911e-25	6.62074255686928e-23
"RNU6ATAC35P"	-0.90766752974373	7.43808752715815	106.648314178054	5.31612265934608e-25	6.62074255686928e-23
"FAM124A"	-0.919141820139287	6.68370675548864	106.594384613696	5.46277751616462e-25	6.73466662472618e-23
"DNMT3B"	-0.885519820275826	9.47538311262598	105.993641588466	7.39721744629329e-25	9.02830389320096e-23
"TUBGCP2"	-0.882835619869943	7.8412213436089	105.020480240977	1.20879960448736e-24	1.46073259136319e-22
"PTGR2"	-1.36428969974925	5.31956378903046	104.831458198959	1.32979282866635e-24	1.59118837979145e-22
"AKR1B1P8"	1.07711315454882	6.22314581651643	104.746853752282	1.3878027117856e-24	1.64447884440225e-22
"MAN2B2"	-1.08343812520231	5.96355408623424	104.303783110152	1.73557321046492e-24	2.03679529170427e-22
"RP11-288C17.1"	2.41356151089614	1.03510587922909	104.1429970633	1.88228784913314e-24	2.18793554273048e-22
"RP11-269C4.2"	-1.30536944570681	6.28450388121352	103.743588997218	2.30268995748173e-24	2.65135197462872e-22
"RNU7-186P"	-0.915079060543697	7.14170561259523	103.643551282416	2.42194353386245e-24	2.76260007764404e-22
"TBX20"	-1.11096045178665	7.42879148284772	102.908723278428	3.50950905534447e-24	3.96607018708141e-22
"AC079117.1"	-1.15170729035698	7.34515516239415	102.845684259069	3.62297807835634e-24	4.05673829782927e-22
"RP11-909N17.2"	-1.17019836954085	6.91571350276202	102.36383775078	4.62059739992394e-24	5.12676284237016e-22
"GEMIN8P4"	-1.06512745572932	6.51257184318761	102.246151106609	4.90341435934715e-24	5.39154705007495e-22
"AL138847.1"	-1.29617442652354	3.41223832662854	102.119232199397	5.22785292505984e-24	5.69695937056745e-22
"CTD-2510F5.4"	-0.947378893358744	6.28126741581818	102.067376114888	5.36651070642871e-24	5.79630647539491e-22
"RP11-585F1.8"	-1.28716821601387	9.16906965682965	101.805360451958	6.12541730417903e-24	6.55795773662325e-22
"MIR4280"	-1.24942099612256	6.11216265900429	101.384953364847	7.57369154306537e-24	8.03799176374895e-22
"LINC01035"	2.42719279618951	2.57522087574987	101.298300805076	7.91236211341249e-24	8.32503272363789e-22
"GINS4"	-1.54203040934411	4.34276503139658	100.992771453995	9.23197401789865e-24	9.63044811012419e-22
"MEI1"	0.908467940567538	6.04651071979622	100.7583263131	1.03919923553229e-23	1.07486666692133e-21
"GPR135"	-0.891654262218185	7.22927433706374	100.686510647977	1.07756949245148e-23	1.10518787019918e-21
"LANCL2"	1.63953220507863	2.10097163100768	100.371300219258	1.2634565610956e-23	1.28504061068099e-21
"BSCL2"	0.921206661251846	5.60098228687652	100.109732605065	1.44183261632159e-23	1.45434438695909e-21
"IGLL5"	1.16548145074568	6.30133484272349	99.7112915920013	1.76313134226556e-23	1.76385393707796e-21
"RP11-753A21.2"	-1.17691898078543	4.91633679248226	99.350358688095	2.11559542309131e-23	2.09925545844142e-21
"VN1R40P"	-0.919288912795325	7.84016354766978	99.0072693156032	2.51576616236931e-23	2.47620371062238e-21
"TMEM181"	1.09982986781817	5.08711569508196	98.7162678173999	2.91398491989702e-23	2.84521487578745e-21
"AC022210.1"	0.952478297764888	5.49152430015421	98.2787183885967	3.63451036760555e-23	3.52057135211315e-21
"AC080125.1"	0.984159241043577	4.73365317419774	98.0130917847601	4.15625596516446e-23	3.99426016179781e-21
"RNU6-453P"	-1.11929738747917	6.053668512523	97.8084475036556	4.60877237022786e-23	4.39453646708055e-21
